data,categoria,historico,tipo,valor,id,contato,cnpj,marcadores,conta_de_destino,no_documento
29/06/2022,,Pagamento De Convenio Telecomunicao Oi,D,"135,23",,,,auto,Banco Inter,
29/06/2022,,Pagamento De Titulo Fornecedor Lder,D,"299,02",,,,auto,Banco Inter,
29/06/2022,, Matheus Tome,C,"399,00",,,,auto,Banco Inter,
29/06/2022,,Pagamento De Convenio Telecomunicao Oi,D,"135,23",,,,auto,Banco Inter,
29/06/2022,,Pagamento De Titulo Fornecedor Lder,D,"299,02",,,,auto,Banco Inter,
29/06/2022,, Matheus Tome,C,"399,00",,,,auto,Banco Inter,
